study_word,test,textbox.text,,,,
,_a_bl_,marble,,,,
,t_hi_t,t-shirt,,,,
,K_y_,keys,,Prop of hit from study list,18,0.9
,_o_rd,chord,,Prop of hit outside study list,0,0
,p_nc_l,pencil,,,,
,_ru_s_,cruise,,Prime score,0.9,
,C_s_io_,cushion,,,,
,ta_l_,table,,,,
,P_li_e,police,,,,
,v_s_,vase,,,,
,bo_t_e,bottle,,,,
,_ou_e,mouse,,,,
,c_ha_t,chart,,,,
,c_m_ra,camera,,,,
,_oo_,book,,,,
,_ho_e,shoe,,,,
,P_s_er,poster,,,,
,P_st_y,pastry,,,,
,L_pt_p,laptop,,,,
,C_s_,case,,,,
