study_word,test,textbox.text,,,,
,c_m_ra,"camera
",,,,
,p_nc_l,pencil,,Prop of hit from study list,13,0.65
,_a_bl_,table,,Prop of hit outside study list,1,0.05
,P_st_y,pastry,,,,
,_ho_e,shoes,,Priming score,0.6,
,_oo_,book,,,,
,v_s_,,,,,
,ta_l_,"vase
",,,,
,t_hi_t,t-shirt,,,,
,bo_t_e,bottle,,,,
,P_li_e,plile,,,,
,P_s_er,passer,,,,
,L_pt_p,laptop,,,,
,_ou_e,mouse,,,,
,K_y_,keys,,,,
,c_ha_t,chart,,,,
,C_s_,Case,,,,
,_o_rd,board,,,,
,C_s_io_,cushion,,,,
,_ru_s_,,,,,
